id;location_string;source;destination;source_zone;destination_zone;rate;min_rate;eco_min;eco_max
38;ELSGRG-Zone 1-Zone 1;ELS;GRG;Zone 1;Zone 1;1.95;1000;1;1000
39;ELSJNB-Zone 1-Zone 1;ELS;JNB;Zone 1;Zone 1;2.13;2300;1;1000
40;ELSKIM-Zone 1-Zone 1;ELS;KIM;Zone 1;Zone 1;2.73;1500;1;1000
41;ELSKLD-Zone 1-Zone 1;ELS;KLD;Zone 1;Zone 1;2.19;2035;1;1000
42;ELSNLP-Zone 1-Zone 1;ELS;NLP;Zone 1;Zone 1;2.55;2700;1;1000
43;ELSPLZ-Zone 1-Zone 1;ELS;PLZ;Zone 1;Zone 1;1.35;800;1;1000
44;ELSPTG-Zone 1-Zone 1;ELS;PTG;Zone 1;Zone 1;2.61;2700;1;1000
45;GRGBFN-Zone 1-Zone 1;GRG;BFN;Zone 1;Zone 1;2.13;1500;1;1000
46;GRGCPT-Zone 1-Zone 1;GRG;CPT;Zone 1;Zone 1;2.31;1400;1;1000
47;GRGDUR-Zone 1-Zone 1;GRG;DUR;Zone 1;Zone 1;2.19;2150;1;1000
48;GRGELS-Zone 1-Zone 1;GRG;ELS;Zone 1;Zone 1;1.95;1000;1;1000
49;GRGGRG-Zone 1-Zone 1;GRG;GRG;Zone 1;Zone 1;0.95;560;1;1000
50;GRGJNB-Zone 1-Zone 1;GRG;JNB;Zone 1;Zone 1;2.46;2500;1;1000
51;GRGKIM-Zone 1-Zone 1;GRG;KIM;Zone 1;Zone 1;2.37;1800;1;1000
52;GRGKLD-Zone 1-Zone 1;GRG;KLD;Zone 1;Zone 1;2.46;2035;1;1000
53;GRGNLP-Zone 1-Zone 1;GRG;NLP;Zone 1;Zone 1;2.55;3000;1;1000
54;GRGPLZ-Zone 1-Zone 1;GRG;PLZ;Zone 1;Zone 1;1.95;1000;1;1000
55;GRGPTG-Zone 1-Zone 1;GRG;PTG;Zone 1;Zone 1;2.61;3000;1;1000
56;JNBBFN-Zone 1-Zone 1;JNB;BFN;Zone 1;Zone 1;1.47;1500;1;1000
57;JNBCPT-Zone 1-Zone 1;JNB;CPT;Zone 1;Zone 1;1.96;2035;1;1000
58;JNBDUR-Zone 1-Zone 1;JNB;DUR;Zone 1;Zone 1;0.89;1305;1;1000
59;JNBELS-Zone 1-Zone 1;JNB;ELS;Zone 1;Zone 1;2.13;2300;1;1000
60;JNBGRG-Zone 1-Zone 1;JNB;GRG;Zone 1;Zone 1;2.46;2500;1;1000
61;JNBJNB-Zone 1-Zone 1;JNB;JNB;Zone 1;Zone 1;0.31;356;1;1000
62;JNBKIM-Zone 1-Zone 1;JNB;KIM;Zone 1;Zone 1;2.01;1700;1;1000
63;JNBKLD-Zone 1-Zone 1;JNB;KLD;Zone 1;Zone 1;1.35;1000;1;1000
64;JNBNLP-Zone 1-Zone 1;JNB;NLP;Zone 1;Zone 1;1.47;800;1;1000
65;JNBPLZ-Zone 1-Zone 1;JNB;PLZ;Zone 1;Zone 1;1.96;2035;1;1000
66;JNBPTG-Zone 1-Zone 1;JNB;PTG;Zone 1;Zone 1;1.47;1200;1;1000
67;KIMBFN-Zone 1-Zone 1;KIM;BFN;Zone 1;Zone 1;1.35;800;1;1000
68;KIMCPT-Zone 1-Zone 1;KIM;CPT;Zone 1;Zone 1;2.13;1800;1;1000
69;KIMDUR-Zone 1-Zone 1;KIM;DUR;Zone 1;Zone 1;2.25;1700;1;1000
70;KIMELS-Zone 1-Zone 1;KIM;ELS;Zone 1;Zone 1;2.73;1500;1;1000
71;KIMGRG-Zone 1-Zone 1;KIM;GRG;Zone 1;Zone 1;2.37;1800;1;1000
72;KIMJNB-Zone 1-Zone 1;KIM;JNB;Zone 1;Zone 1;2.01;1700;1;1000
73;KIMKIM-Zone 1-Zone 1;KIM;KIM;Zone 1;Zone 1;0.95;560;1;1000
74;KIMKLD-Zone 1-Zone 1;KIM;KLD;Zone 1;Zone 1;2.31;1000;1;1000
75;KIMNLP-Zone 1-Zone 1;KIM;NLP;Zone 1;Zone 1;2.31;2035;1;1000
76;KIMPLZ-Zone 1-Zone 1;KIM;PLZ;Zone 1;Zone 1;2.25;1500;1;1000
77;KIMPTG-Zone 1-Zone 1;KIM;PTG;Zone 1;Zone 1;2.01;2035;1;1000
78;KLDBFN-Zone 1-Zone 1;KLD;BFN;Zone 1;Zone 1;1.41;1000;1;1000
79;KLDCPT-Zone 1-Zone 1;KLD;CPT;Zone 1;Zone 1;1.71;1000;1;1000
80;KLDDUR-Zone 1-Zone 1;KLD;DUR;Zone 1;Zone 1;1.95;1500;1;1000
81;KLDELS-Zone 1-Zone 1;KLD;ELS;Zone 1;Zone 1;2.19;2035;1;1000
82;KLDGRG-Zone 1-Zone 1;KLD;GRG;Zone 1;Zone 1;2.46;2035;1;1000
83;KLDJNB-Zone 1-Zone 1;KLD;JNB;Zone 1;Zone 1;1.35;1000;1;1000
84;KLDKIM-Zone 1-Zone 1;KLD;KIM;Zone 1;Zone 1;2.31;1000;1;1000
85;KLDKLD-Zone 1-Zone 1;KLD;KLD;Zone 1;Zone 1;0.83;560;1;1000
86;KLDNLP-Zone 1-Zone 1;KLD;NLP;Zone 1;Zone 1;2.19;1500;1;1000
87;KLDPLZ-Zone 1-Zone 1;KLD;PLZ;Zone 1;Zone 1;1.53;2035;1;1000
88;KLDPTG-Zone 1-Zone 1;KLD;PTG;Zone 1;Zone 1;2.13;1500;1;1000
89;NLPBFN-Zone 1-Zone 1;NLP;BFN;Zone 1;Zone 1;1.65;1500;1;1000
90;NLPCPT-Zone 1-Zone 1;NLP;CPT;Zone 1;Zone 1;2.25;2700;1;1000
91;NLPDUR-Zone 1-Zone 1;NLP;DUR;Zone 1;Zone 1;2.07;1500;1;1000
92;NLPELS-Zone 1-Zone 1;NLP;ELS;Zone 1;Zone 1;2.55;2700;1;1000
93;NLPGRG-Zone 1-Zone 1;NLP;GRG;Zone 1;Zone 1;2.55;3000;1;1000
94;NLPJNB-Zone 1-Zone 1;NLP;JNB;Zone 1;Zone 1;1.47;800;1;1000
95;NLPKIM-Zone 1-Zone 1;NLP;KIM;Zone 1;Zone 1;2.31;2035;1;1000
96;NLPKLD-Zone 1-Zone 1;NLP;KLD;Zone 1;Zone 1;2.19;1500;1;1000
97;NLPNLP-Zone 1-Zone 1;NLP;NLP;Zone 1;Zone 1;0.89;560;1;1000
98;NLPPLZ-Zone 1-Zone 1;NLP;PLZ;Zone 1;Zone 1;2.01;2700;1;1000
99;NLPPTG-Zone 1-Zone 1;NLP;PTG;Zone 1;Zone 1;1.35;1200;1;1000
100;PLZBFN-Zone 1-Zone 1;PLZ;BFN;Zone 1;Zone 1;1.95;1300;1;1000
101;PLZCPT-Zone 1-Zone 1;PLZ;CPT;Zone 1;Zone 1;2.01;2035;1;1000
102;PLZDUR-Zone 1-Zone 1;PLZ;DUR;Zone 1;Zone 1;1.77;1800;1;1000
103;PLZELS-Zone 1-Zone 1;PLZ;ELS;Zone 1;Zone 1;1.35;800;1;1000
104;PLZGRG-Zone 1-Zone 1;PLZ;GRG;Zone 1;Zone 1;1.95;1000;1;1000
105;PLZJNB-Zone 1-Zone 1;PLZ;JNB;Zone 1;Zone 1;1.96;2035;1;1000
106;PLZKIM-Zone 1-Zone 1;PLZ;KIM;Zone 1;Zone 1;2.25;1500;1;1000
107;PLZKLD-Zone 1-Zone 1;PLZ;KLD;Zone 1;Zone 1;1.53;2035;1;1000
108;PLZNLP-Zone 1-Zone 1;PLZ;NLP;Zone 1;Zone 1;2.01;2700;1;1000
109;PLZPLZ-Zone 1-Zone 1;PLZ;PLZ;Zone 1;Zone 1;0.35;356;1;1000
110;PLZPTG-Zone 1-Zone 1;PLZ;PTG;Zone 1;Zone 1;2.07;2700;1;1000
111;PTGBFN-Zone 1-Zone 1;PTG;BFN;Zone 1;Zone 1;1.65;2000;1;1000
112;PTGCPT-Zone 1-Zone 1;PTG;CPT;Zone 1;Zone 1;2.25;2700;1;1000
113;PTGDUR-Zone 1-Zone 1;PTG;DUR;Zone 1;Zone 1;2.07;2000;1;1000
114;PTGELS-Zone 1-Zone 1;PTG;ELS;Zone 1;Zone 1;2.61;2700;1;1000
115;PTGGRG-Zone 1-Zone 1;PTG;GRG;Zone 1;Zone 1;2.61;3000;1;1000
116;PTGJNB-Zone 1-Zone 1;PTG;JNB;Zone 1;Zone 1;1.47;1200;1;1000
117;PTGKIM-Zone 1-Zone 1;PTG;KIM;Zone 1;Zone 1;2.01;2035;1;1000
118;PTGKLD-Zone 1-Zone 1;PTG;KLD;Zone 1;Zone 1;2.13;1500;1;1000
119;PTGNLP-Zone 1-Zone 1;PTG;NLP;Zone 1;Zone 1;1.35;1200;1;1000
120;PTGPLZ-Zone 1-Zone 1;PTG;PLZ;Zone 1;Zone 1;2.07;2700;1;1000
121;PTGPTG-Zone 1-Zone 1;PTG;PTG;Zone 1;Zone 1;0.89;560;1;1000
122;BFNBFN-Zone 2-Zone 1;BFN;BFN;Zone 2;Zone 1;1.15;866;1;1000
123;BFNCPT-Zone 2-Zone 1;BFN;CPT;Zone 2;Zone 1;1.91;2106;1;1000
124;BFNDUR-Zone 2-Zone 1;BFN;DUR;Zone 2;Zone 1;1.79;1806;1;1000
125;BFNELS-Zone 2-Zone 1;BFN;ELS;Zone 2;Zone 1;2.33;1606;1;1000
126;BFNGRG-Zone 2-Zone 1;BFN;GRG;Zone 2;Zone 1;2.45;1806;1;1000
127;BFNJNB-Zone 2-Zone 1;BFN;JNB;Zone 2;Zone 1;1.79;1806;1;1000
128;BFNKIM-Zone 2-Zone 1;BFN;KIM;Zone 2;Zone 1;1.67;1106;1;1000
129;BFNKLD-Zone 2-Zone 1;BFN;KLD;Zone 2;Zone 1;1.73;1306;1;1000
130;BFNNLP-Zone 2-Zone 1;BFN;NLP;Zone 2;Zone 1;1.97;1806;1;1000
131;BFNPLZ-Zone 2-Zone 1;BFN;PLZ;Zone 2;Zone 1;2.27;1606;1;1000
132;BFNPTG-Zone 2-Zone 1;BFN;PTG;Zone 2;Zone 1;1.97;2306;1;1000
133;CPTBFN-Zone 2-Zone 1;CPT;BFN;Zone 2;Zone 1;1.91;2106;1;1000
134;CPTCPT-Zone 2-Zone 1;CPT;CPT;Zone 2;Zone 1;0.46;425;1;1000
135;CPTDUR-Zone 2-Zone 1;CPT;DUR;Zone 2;Zone 1;1.85;2456;1;1000
136;CPTELS-Zone 2-Zone 1;CPT;ELS;Zone 2;Zone 1;2.27;2606;1;1000
137;CPTGRG-Zone 2-Zone 1;CPT;GRG;Zone 2;Zone 1;2.63;1706;1;1000
138;CPTJNB-Zone 2-Zone 1;CPT;JNB;Zone 2;Zone 1;2.28;2341;1;1000
139;CPTKIM-Zone 2-Zone 1;CPT;KIM;Zone 2;Zone 1;2.45;2106;1;1000
140;CPTKLD-Zone 2-Zone 1;CPT;KLD;Zone 2;Zone 1;2.03;1306;1;1000
141;CPTNLP-Zone 2-Zone 1;CPT;NLP;Zone 2;Zone 1;2.57;3006;1;1000
142;CPTPLZ-Zone 2-Zone 1;CPT;PLZ;Zone 2;Zone 1;2.33;2341;1;1000
143;CPTPTG-Zone 2-Zone 1;CPT;PTG;Zone 2;Zone 1;2.57;3006;1;1000
144;DURBFN-Zone 2-Zone 1;DUR;BFN;Zone 2;Zone 1;1.79;1806;1;1000
145;DURCPT-Zone 2-Zone 1;DUR;CPT;Zone 2;Zone 1;1.85;2456;1;1000
146;DURDUR-Zone 2-Zone 1;DUR;DUR;Zone 2;Zone 1;0.46;425;1;1000
147;DURELS-Zone 2-Zone 1;DUR;ELS;Zone 2;Zone 1;2.03;1806;1;1000
148;DURGRG-Zone 2-Zone 1;DUR;GRG;Zone 2;Zone 1;2.51;2456;1;1000
149;DURJNB-Zone 2-Zone 1;DUR;JNB;Zone 2;Zone 1;1.1;1509;1;1000
150;DURKIM-Zone 2-Zone 1;DUR;KIM;Zone 2;Zone 1;2.57;2006;1;1000
151;DURKLD-Zone 2-Zone 1;DUR;KLD;Zone 2;Zone 1;2.27;1806;1;1000
152;DURNLP-Zone 2-Zone 1;DUR;NLP;Zone 2;Zone 1;2.39;1806;1;1000
153;DURPLZ-Zone 2-Zone 1;DUR;PLZ;Zone 2;Zone 1;2.09;2106;1;1000
154;DURPTG-Zone 2-Zone 1;DUR;PTG;Zone 2;Zone 1;2.39;2306;1;1000
155;ELSBFN-Zone 2-Zone 1;ELS;BFN;Zone 2;Zone 1;2.33;1606;1;1000
156;ELSCPT-Zone 2-Zone 1;ELS;CPT;Zone 2;Zone 1;2.27;2606;1;1000
157;ELSDUR-Zone 2-Zone 1;ELS;DUR;Zone 2;Zone 1;2.03;1806;1;1000
158;ELSELS-Zone 2-Zone 1;ELS;ELS;Zone 2;Zone 1;1.27;866;1;1000
159;ELSGRG-Zone 2-Zone 1;ELS;GRG;Zone 2;Zone 1;2.27;1306;1;1000
160;ELSJNB-Zone 2-Zone 1;ELS;JNB;Zone 2;Zone 1;2.45;2606;1;1000
161;ELSKIM-Zone 2-Zone 1;ELS;KIM;Zone 2;Zone 1;3.05;1806;1;1000
162;ELSKLD-Zone 2-Zone 1;ELS;KLD;Zone 2;Zone 1;2.51;2341;1;1000
163;ELSNLP-Zone 2-Zone 1;ELS;NLP;Zone 2;Zone 1;2.87;3006;1;1000
164;ELSPLZ-Zone 2-Zone 1;ELS;PLZ;Zone 2;Zone 1;1.67;1106;1;1000
165;ELSPTG-Zone 2-Zone 1;ELS;PTG;Zone 2;Zone 1;2.93;3006;1;1000
166;GRGBFN-Zone 2-Zone 1;GRG;BFN;Zone 2;Zone 1;2.45;1806;1;1000
167;GRGCPT-Zone 2-Zone 1;GRG;CPT;Zone 2;Zone 1;2.63;1706;1;1000
168;GRGDUR-Zone 2-Zone 1;GRG;DUR;Zone 2;Zone 1;2.51;2456;1;1000
169;GRGELS-Zone 2-Zone 1;GRG;ELS;Zone 2;Zone 1;2.27;1306;1;1000
170;GRGGRG-Zone 2-Zone 1;GRG;GRG;Zone 2;Zone 1;1.27;866;1;1000
171;GRGJNB-Zone 2-Zone 1;GRG;JNB;Zone 2;Zone 1;2.78;2806;1;1000
172;GRGKIM-Zone 2-Zone 1;GRG;KIM;Zone 2;Zone 1;2.69;2106;1;1000
173;GRGKLD-Zone 2-Zone 1;GRG;KLD;Zone 2;Zone 1;2.78;2341;1;1000
174;GRGNLP-Zone 2-Zone 1;GRG;NLP;Zone 2;Zone 1;2.87;3306;1;1000
175;GRGPLZ-Zone 2-Zone 1;GRG;PLZ;Zone 2;Zone 1;2.27;1306;1;1000
176;GRGPTG-Zone 2-Zone 1;GRG;PTG;Zone 2;Zone 1;2.93;3306;1;1000
177;JNBBFN-Zone 2-Zone 1;JNB;BFN;Zone 2;Zone 1;1.79;1806;1;1000
178;JNBCPT-Zone 2-Zone 1;JNB;CPT;Zone 2;Zone 1;2.28;2341;1;1000
179;JNBDUR-Zone 2-Zone 1;JNB;DUR;Zone 2;Zone 1;1.1;1509;1;1000
180;JNBELS-Zone 2-Zone 1;JNB;ELS;Zone 2;Zone 1;2.45;2606;1;1000
181;JNBGRG-Zone 2-Zone 1;JNB;GRG;Zone 2;Zone 1;2.78;2806;1;1000
182;JNBJNB-Zone 2-Zone 1;JNB;JNB;Zone 2;Zone 1;0.42;425;1;1000
183;JNBKIM-Zone 2-Zone 1;JNB;KIM;Zone 2;Zone 1;2.33;2006;1;1000
184;JNBKLD-Zone 2-Zone 1;JNB;KLD;Zone 2;Zone 1;1.67;1306;1;1000
185;JNBNLP-Zone 2-Zone 1;JNB;NLP;Zone 2;Zone 1;1.79;1106;1;1000
186;JNBPLZ-Zone 2-Zone 1;JNB;PLZ;Zone 2;Zone 1;2.28;2341;1;1000
187;JNBPTG-Zone 2-Zone 1;JNB;PTG;Zone 2;Zone 1;1.79;1506;1;1000
188;KIMBFN-Zone 2-Zone 1;KIM;BFN;Zone 2;Zone 1;1.67;1106;1;1000
189;KIMCPT-Zone 2-Zone 1;KIM;CPT;Zone 2;Zone 1;2.45;2106;1;1000
190;KIMDUR-Zone 2-Zone 1;KIM;DUR;Zone 2;Zone 1;2.57;2006;1;1000
191;KIMELS-Zone 2-Zone 1;KIM;ELS;Zone 2;Zone 1;3.05;1806;1;1000
192;KIMGRG-Zone 2-Zone 1;KIM;GRG;Zone 2;Zone 1;2.69;2106;1;1000
193;KIMJNB-Zone 2-Zone 1;KIM;JNB;Zone 2;Zone 1;2.33;2006;1;1000
194;KIMKIM-Zone 2-Zone 1;KIM;KIM;Zone 2;Zone 1;1.27;866;1;1000
195;KIMKLD-Zone 2-Zone 1;KIM;KLD;Zone 2;Zone 1;2.63;1306;1;1000
196;KIMNLP-Zone 2-Zone 1;KIM;NLP;Zone 2;Zone 1;2.63;2341;1;1000
197;KIMPLZ-Zone 2-Zone 1;KIM;PLZ;Zone 2;Zone 1;2.57;1806;1;1000
198;KIMPTG-Zone 2-Zone 1;KIM;PTG;Zone 2;Zone 1;2.33;2341;1;1000
199;KLDBFN-Zone 2-Zone 1;KLD;BFN;Zone 2;Zone 1;1.73;1306;1;1000
200;KLDCPT-Zone 2-Zone 1;KLD;CPT;Zone 2;Zone 1;2.03;1306;1;1000
201;KLDDUR-Zone 2-Zone 1;KLD;DUR;Zone 2;Zone 1;2.27;1806;1;1000
202;KLDELS-Zone 2-Zone 1;KLD;ELS;Zone 2;Zone 1;2.51;2341;1;1000
203;KLDGRG-Zone 2-Zone 1;KLD;GRG;Zone 2;Zone 1;2.78;2341;1;1000
204;KLDJNB-Zone 2-Zone 1;KLD;JNB;Zone 2;Zone 1;1.67;1306;1;1000
205;KLDKIM-Zone 2-Zone 1;KLD;KIM;Zone 2;Zone 1;2.63;1306;1;1000
206;KLDKLD-Zone 2-Zone 1;KLD;KLD;Zone 2;Zone 1;1.15;866;1;1000
207;KLDNLP-Zone 2-Zone 1;KLD;NLP;Zone 2;Zone 1;2.51;1806;1;1000
208;KLDPLZ-Zone 2-Zone 1;KLD;PLZ;Zone 2;Zone 1;1.85;2341;1;1000
209;KLDPTG-Zone 2-Zone 1;KLD;PTG;Zone 2;Zone 1;2.45;1806;1;1000
210;NLPBFN-Zone 2-Zone 1;NLP;BFN;Zone 2;Zone 1;1.97;1806;1;1000
211;NLPCPT-Zone 2-Zone 1;NLP;CPT;Zone 2;Zone 1;2.57;3006;1;1000
212;NLPDUR-Zone 2-Zone 1;NLP;DUR;Zone 2;Zone 1;2.39;1806;1;1000
213;NLPELS-Zone 2-Zone 1;NLP;ELS;Zone 2;Zone 1;2.87;3006;1;1000
214;NLPGRG-Zone 2-Zone 1;NLP;GRG;Zone 2;Zone 1;2.87;3306;1;1000
215;NLPJNB-Zone 2-Zone 1;NLP;JNB;Zone 2;Zone 1;1.79;1106;1;1000
216;NLPKIM-Zone 2-Zone 1;NLP;KIM;Zone 2;Zone 1;2.63;2341;1;1000
217;NLPKLD-Zone 2-Zone 1;NLP;KLD;Zone 2;Zone 1;2.51;1806;1;1000
218;NLPNLP-Zone 2-Zone 1;NLP;NLP;Zone 2;Zone 1;1.21;866;1;1000
219;NLPPLZ-Zone 2-Zone 1;NLP;PLZ;Zone 2;Zone 1;2.33;3006;1;1000
220;NLPPTG-Zone 2-Zone 1;NLP;PTG;Zone 2;Zone 1;1.67;1506;1;1000
221;PLZBFN-Zone 2-Zone 1;PLZ;BFN;Zone 2;Zone 1;2.27;1606;1;1000
222;PLZCPT-Zone 2-Zone 1;PLZ;CPT;Zone 2;Zone 1;2.33;2341;1;1000
223;PLZDUR-Zone 2-Zone 1;PLZ;DUR;Zone 2;Zone 1;2.09;2106;1;1000
224;PLZELS-Zone 2-Zone 1;PLZ;ELS;Zone 2;Zone 1;1.67;1106;1;1000
225;PLZGRG-Zone 2-Zone 1;PLZ;GRG;Zone 2;Zone 1;2.27;1306;1;1000
226;PLZJNB-Zone 2-Zone 1;PLZ;JNB;Zone 2;Zone 1;2.28;2341;1;1000
227;PLZKIM-Zone 2-Zone 1;PLZ;KIM;Zone 2;Zone 1;2.57;1806;1;1000
228;PLZKLD-Zone 2-Zone 1;PLZ;KLD;Zone 2;Zone 1;1.85;2341;1;1000
229;PLZNLP-Zone 2-Zone 1;PLZ;NLP;Zone 2;Zone 1;2.33;3006;1;1000
230;PLZPLZ-Zone 2-Zone 1;PLZ;PLZ;Zone 2;Zone 1;0.46;425;1;1000
231;PLZPTG-Zone 2-Zone 1;PLZ;PTG;Zone 2;Zone 1;2.39;3006;1;1000
232;PTGBFN-Zone 2-Zone 1;PTG;BFN;Zone 2;Zone 1;1.97;2306;1;1000
233;PTGCPT-Zone 2-Zone 1;PTG;CPT;Zone 2;Zone 1;2.57;3006;1;1000
234;PTGDUR-Zone 2-Zone 1;PTG;DUR;Zone 2;Zone 1;2.39;2306;1;1000
235;PTGELS-Zone 2-Zone 1;PTG;ELS;Zone 2;Zone 1;2.93;3006;1;1000
236;PTGGRG-Zone 2-Zone 1;PTG;GRG;Zone 2;Zone 1;2.93;3306;1;1000
237;PTGJNB-Zone 2-Zone 1;PTG;JNB;Zone 2;Zone 1;1.79;1506;1;1000
238;PTGKIM-Zone 2-Zone 1;PTG;KIM;Zone 2;Zone 1;2.33;2341;1;1000
239;PTGKLD-Zone 2-Zone 1;PTG;KLD;Zone 2;Zone 1;2.45;1806;1;1000
240;PTGNLP-Zone 2-Zone 1;PTG;NLP;Zone 2;Zone 1;1.67;1506;1;1000
241;PTGPLZ-Zone 2-Zone 1;PTG;PLZ;Zone 2;Zone 1;2.39;3006;1;1000
242;PTGPTG-Zone 2-Zone 1;PTG;PTG;Zone 2;Zone 1;1.21;866;1;1000
243;BFNBFN-Zone 3-Zone 1;BFN;BFN;Zone 3;Zone 1;1.52;1202;1;1000
244;BFNCPT-Zone 3-Zone 1;BFN;CPT;Zone 3;Zone 1;2.28;2442;1;1000
245;BFNDUR-Zone 3-Zone 1;BFN;DUR;Zone 3;Zone 1;2.16;2142;1;1000
246;BFNELS-Zone 3-Zone 1;BFN;ELS;Zone 3;Zone 1;2.7;1942;1;1000
247;BFNGRG-Zone 3-Zone 1;BFN;GRG;Zone 3;Zone 1;2.82;2142;1;1000
248;BFNJNB-Zone 3-Zone 1;BFN;JNB;Zone 3;Zone 1;2.16;2142;1;1000
249;BFNKIM-Zone 3-Zone 1;BFN;KIM;Zone 3;Zone 1;2.04;1442;1;1000
250;BFNKLD-Zone 3-Zone 1;BFN;KLD;Zone 3;Zone 1;2.1;1642;1;1000
251;BFNNLP-Zone 3-Zone 1;BFN;NLP;Zone 3;Zone 1;2.34;2142;1;1000
252;BFNPLZ-Zone 3-Zone 1;BFN;PLZ;Zone 3;Zone 1;2.64;1942;1;1000
253;BFNPTG-Zone 3-Zone 1;BFN;PTG;Zone 3;Zone 1;2.34;2642;1;1000
254;CPTBFN-Zone 3-Zone 1;CPT;BFN;Zone 3;Zone 1;2.28;2442;1;1000
255;CPTCPT-Zone 3-Zone 1;CPT;CPT;Zone 3;Zone 1;0.73;695;1;1000
256;CPTDUR-Zone 3-Zone 1;CPT;DUR;Zone 3;Zone 1;2.22;2792;1;1000
257;CPTELS-Zone 3-Zone 1;CPT;ELS;Zone 3;Zone 1;2.64;2942;1;1000
258;CPTGRG-Zone 3-Zone 1;CPT;GRG;Zone 3;Zone 1;3;2042;1;1000
259;CPTJNB-Zone 3-Zone 1;CPT;JNB;Zone 3;Zone 1;2.65;2677;1;1000
260;CPTKIM-Zone 3-Zone 1;CPT;KIM;Zone 3;Zone 1;2.82;2442;1;1000
261;CPTKLD-Zone 3-Zone 1;CPT;KLD;Zone 3;Zone 1;2.4;1642;1;1000
262;CPTNLP-Zone 3-Zone 1;CPT;NLP;Zone 3;Zone 1;2.94;3342;1;1000
