id;location_string;source;destination;source_zone;destination_zone;eco_rate;eco_min_rate;eco_min;eco_max;exp_rate;exp_min_rate;exp_min;exp_max;mod_of_trans
18;CPTKIM-Zone1-Zone1;CPT;KIM;Zone 1;Zone 1;2.13;1800;1;1000;22.67;2250;1;1000;S
19;CPTKLD-Zone1-Zone1;CPT;KLD;Zone 1;Zone 1;1.71;1000;1;1000;21.28;1250;1;1000;S
20;CPTNLP-Zone1-Zone1;CPT;NLP;Zone 1;Zone 1;2.25;2700;1;1000;21.53;3375;1;1000;S
21;CPTPLZ-Zone1-Zone1;CPT;PLZ;Zone 1;Zone 1;2.01;2035;1;1000;18.44;2544;1;1000;S
22;CPTPTG-Zone1-Zone1;CPT;PTG;Zone 1;Zone 1;2.25;2700;1;1000;21.53;3375;1;1000;S
23;DURBFN-Zone1-Zone1;DUR;BFN;Zone 1;Zone 1;1.47;1500;1;1000;13.31;1875;1;1000;S
24;DURCPT-Zone1-Zone1;DUR;CPT;Zone 1;Zone 1;1.53;2150;1;1000;13.99;2688;1;1000;S
25;DURDUR-Zone1-Zone1;DUR;DUR;Zone 1;Zone 1;0.35;356;1;1000;0.56;569;1;1000;S
26;DURELS-Zone1-Zone1;DUR;ELS;Zone 1;Zone 1;1.71;1500;1;1000;18.44;1875;1;1000;S
27;DURGRG-Zone1-Zone1;DUR;GRG;Zone 1;Zone 1;2.19;2150;1;1000;31.76;2688;1;1000;S
28;DURJNB-Zone1-Zone1;DUR;JNB;Zone 1;Zone 1;0.89;1305;1;1000;1.11;1567;1;1000;S
29;DURKIM-Zone1-Zone1;DUR;KIM;Zone 1;Zone 1;2.25;1700;1;1000;17.53;2125;1;1000;S
30;DURKLD-Zone1-Zone1;DUR;KLD;Zone 1;Zone 1;1.95;1500;1;1000;16.15;1875;1;1000;S
31;DURNLP-Zone1-Zone1;DUR;NLP;Zone 1;Zone 1;2.07;1500;1;1000;16.4;1875;1;1000;S
32;DURPLZ-Zone1-Zone1;DUR;PLZ;Zone 1;Zone 1;1.77;1800;1;1000;18.44;2250;1;1000;S
33;DURPTG-Zone1-Zone1;DUR;PTG;Zone 1;Zone 1;2.07;2000;1;1000;16.4;2500;1;1000;S
34;ELSBFN-Zone1-Zone1;ELS;BFN;Zone 1;Zone 1;2.01;1300;1;1000;18.44;1625;1;1000;S
35;ELSCPT-Zone1-Zone1;ELS;CPT;Zone 1;Zone 1;1.95;2300;1;1000;18.44;2875;1;1000;S
36;ELSDUR-Zone1-Zone1;ELS;DUR;Zone 1;Zone 1;1.71;1500;1;1000;18.44;1875;1;1000;S
37;ELSELS-Zone1-Zone1;ELS;ELS;Zone 1;Zone 1;0.95;560;1;1000;1.99;700;1;1000;S
38;ELSGRG-Zone1-Zone1;ELS;GRG;Zone 1;Zone 1;1.95;1000;1;1000;36.89;1250;1;1000;S
39;ELSJNB-Zone1-Zone1;ELS;JNB;Zone 1;Zone 1;2.13;2300;1;1000;18.44;2875;1;1000;S
40;ELSKIM-Zone1-Zone1;ELS;KIM;Zone 1;Zone 1;2.73;1500;1;1000;22.67;1875;1;1000;S
41;ELSKLD-Zone1-Zone1;ELS;KLD;Zone 1;Zone 1;2.19;2035;1;1000;21.28;2544;1;1000;S
42;ELSNLP-Zone1-Zone1;ELS;NLP;Zone 1;Zone 1;2.55;2700;1;1000;21.53;3375;1;1000;S
43;ELSPLZ-Zone1-Zone1;ELS;PLZ;Zone 1;Zone 1;1.35;800;1;1000;11.54;1000;1;1000;S
44;ELSPTG-Zone1-Zone1;ELS;PTG;Zone 1;Zone 1;2.61;2700;1;1000;21.53;3375;1;1000;S
45;GRGBFN-Zone1-Zone1;GRG;BFN;Zone 1;Zone 1;2.13;1500;1;1000;36.89;1875;1;1000;S
46;GRGCPT-Zone1-Zone1;GRG;CPT;Zone 1;Zone 1;2.31;1400;1;1000;36.89;1750;1;1000;S
47;GRGDUR-Zone1-Zone1;GRG;DUR;Zone 1;Zone 1;2.19;2150;1;1000;31.76;2688;1;1000;S
48;GRGELS-Zone1-Zone1;GRG;ELS;Zone 1;Zone 1;1.95;1000;1;1000;36.89;1250;1;1000;S
49;GRGGRG-Zone1-Zone1;GRG;GRG;Zone 1;Zone 1;0.95;560;1;1000;1.99;700;1;1000;S
50;GRGJNB-Zone1-Zone1;GRG;JNB;Zone 1;Zone 1;2.46;2500;1;1000;18.44;3125;1;1000;S
51;GRGKIM-Zone1-Zone1;GRG;KIM;Zone 1;Zone 1;2.37;1800;1;1000;22.67;2250;1;1000;S
52;GRGKLD-Zone1-Zone1;GRG;KLD;Zone 1;Zone 1;2.46;2035;1;1000;21.28;2544;1;1000;S
53;GRGNLP-Zone1-Zone1;GRG;NLP;Zone 1;Zone 1;2.55;3000;1;1000;21.53;3750;1;1000;S
54;GRGPLZ-Zone1-Zone1;GRG;PLZ;Zone 1;Zone 1;1.95;1000;1;1000;36.89;1250;1;1000;S
55;GRGPTG-Zone1-Zone1;GRG;PTG;Zone 1;Zone 1;2.61;3000;1;1000;21.53;3750;1;1000;S
56;JNBBFN-Zone1-Zone1;JNB;BFN;Zone 1;Zone 1;1.47;1500;1;1000;18.44;1875;1;1000;S
57;JNBCPT-Zone1-Zone1;JNB;CPT;Zone 1;Zone 1;1.96;2035;1;1000;2.45;2544;1;1000;S
58;JNBDUR-Zone1-Zone1;JNB;DUR;Zone 1;Zone 1;0.89;1305;1;1000;1.11;1567;1;1000;S
59;JNBELS-Zone1-Zone1;JNB;ELS;Zone 1;Zone 1;2.13;2300;1;1000;18.44;2875;1;1000;S
60;JNBGRG-Zone1-Zone1;JNB;GRG;Zone 1;Zone 1;2.46;2500;1;1000;18.44;3125;1;1000;S
61;JNBJNB-Zone1-Zone1;JNB;JNB;Zone 1;Zone 1;0.31;356;1;1000;0.56;569;1;1000;S
62;JNBKIM-Zone1-Zone1;JNB;KIM;Zone 1;Zone 1;2.01;1700;1;1000;4.22;2125;1;1000;S
63;JNBKLD-Zone1-Zone1;JNB;KLD;Zone 1;Zone 1;1.35;1000;1;1000;2.84;1250;1;1000;S
64;JNBNLP-Zone1-Zone1;JNB;NLP;Zone 1;Zone 1;1.47;800;1;1000;3.09;1000;1;1000;S
65;JNBPLZ-Zone1-Zone1;JNB;PLZ;Zone 1;Zone 1;1.96;2035;1;1000;2.45;2544;1;1000;S
66;JNBPTG-Zone1-Zone1;JNB;PTG;Zone 1;Zone 1;1.47;1200;1;1000;3.09;1500;1;1000;S
67;KIMBFN-Zone1-Zone1;KIM;BFN;Zone 1;Zone 1;1.35;800;1;1000;22.67;1000;1;1000;S
68;KIMCPT-Zone1-Zone1;KIM;CPT;Zone 1;Zone 1;2.13;1800;1;1000;22.67;2250;1;1000;S
69;KIMDUR-Zone1-Zone1;KIM;DUR;Zone 1;Zone 1;2.25;1700;1;1000;17.53;2125;1;1000;S
70;KIMELS-Zone1-Zone1;KIM;ELS;Zone 1;Zone 1;2.73;1500;1;1000;22.67;1875;1;1000;S
71;KIMGRG-Zone1-Zone1;KIM;GRG;Zone 1;Zone 1;2.37;1800;1;1000;22.67;2250;1;1000;S
72;KIMJNB-Zone1-Zone1;KIM;JNB;Zone 1;Zone 1;2.01;1700;1;1000;4.22;2125;1;1000;S
73;KIMKIM-Zone1-Zone1;KIM;KIM;Zone 1;Zone 1;0.95;560;1;1000;1.99;700;1;1000;S
74;KIMKLD-Zone1-Zone1;KIM;KLD;Zone 1;Zone 1;2.31;1000;1;1000;4.85;1250;1;1000;S
75;KIMNLP-Zone1-Zone1;KIM;NLP;Zone 1;Zone 1;2.31;2035;1;1000;7.31;2544;1;1000;S
76;KIMPLZ-Zone1-Zone1;KIM;PLZ;Zone 1;Zone 1;2.25;1500;1;1000;22.67;1875;1;1000;S
77;KIMPTG-Zone1-Zone1;KIM;PTG;Zone 1;Zone 1;2.01;2035;1;1000;7.31;2544;1;1000;S
78;KLDBFN-Zone1-Zone1;KLD;BFN;Zone 1;Zone 1;1.41;1000;1;1000;21.28;1250;1;1000;S
79;KLDCPT-Zone1-Zone1;KLD;CPT;Zone 1;Zone 1;1.71;1000;1;1000;21.28;1250;1;1000;S
80;KLDDUR-Zone1-Zone1;KLD;DUR;Zone 1;Zone 1;1.95;1500;1;1000;16.15;1875;1;1000;S
81;KLDELS-Zone1-Zone1;KLD;ELS;Zone 1;Zone 1;2.19;2035;1;1000;21.28;2544;1;1000;S
82;KLDGRG-Zone1-Zone1;KLD;GRG;Zone 1;Zone 1;2.46;2035;1;1000;21.28;2544;1;1000;S
83;KLDJNB-Zone1-Zone1;KLD;JNB;Zone 1;Zone 1;1.35;1000;1;1000;2.84;1250;1;1000;S
84;KLDKIM-Zone1-Zone1;KLD;KIM;Zone 1;Zone 1;2.31;1000;1;1000;4.85;1250;1;1000;S
85;KLDKLD-Zone1-Zone1;KLD;KLD;Zone 1;Zone 1;0.83;560;1;1000;1.74;700;1;1000;S
86;KLDNLP-Zone1-Zone1;KLD;NLP;Zone 1;Zone 1;2.19;1500;1;1000;5.92;1875;1;1000;S
87;KLDPLZ-Zone1-Zone1;KLD;PLZ;Zone 1;Zone 1;1.53;2035;1;1000;21.28;2544;1;1000;S
88;KLDPTG-Zone1-Zone1;KLD;PTG;Zone 1;Zone 1;2.13;1500;1;1000;5.92;1875;1;1000;S
89;NLPBFN-Zone1-Zone1;NLP;BFN;Zone 1;Zone 1;1.65;1500;1;1000;21.53;1875;1;1000;S
90;NLPCPT-Zone1-Zone1;NLP;CPT;Zone 1;Zone 1;2.25;2700;1;1000;21.53;3375;1;1000;S
91;NLPDUR-Zone1-Zone1;NLP;DUR;Zone 1;Zone 1;2.07;1500;1;1000;16.4;1875;1;1000;S
92;NLPELS-Zone1-Zone1;NLP;ELS;Zone 1;Zone 1;2.55;2700;1;1000;21.53;3375;1;1000;S
93;NLPGRG-Zone1-Zone1;NLP;GRG;Zone 1;Zone 1;2.55;3000;1;1000;21.53;3750;1;1000;S
94;NLPJNB-Zone1-Zone1;NLP;JNB;Zone 1;Zone 1;1.47;800;1;1000;3.09;1000;1;1000;S
95;NLPKIM-Zone1-Zone1;NLP;KIM;Zone 1;Zone 1;2.31;2035;1;1000;7.31;2544;1;1000;S
96;NLPKLD-Zone1-Zone1;NLP;KLD;Zone 1;Zone 1;2.19;1500;1;1000;5.92;1875;1;1000;S
97;NLPNLP-Zone1-Zone1;NLP;NLP;Zone 1;Zone 1;0.89;560;1;1000;1.87;700;1;1000;S
98;NLPPLZ-Zone1-Zone1;NLP;PLZ;Zone 1;Zone 1;2.01;2700;1;1000;21.53;3375;1;1000;S
99;NLPPTG-Zone1-Zone1;NLP;PTG;Zone 1;Zone 1;1.35;1200;1;1000;6.17;1500;1;1000;S
100;PLZBFN-Zone1-Zone1;PLZ;BFN;Zone 1;Zone 1;1.95;1300;1;1000;18.44;1625;1;1000;S
101;PLZCPT-Zone1-Zone1;PLZ;CPT;Zone 1;Zone 1;2.01;2035;1;1000;18.44;2544;1;1000;S
102;PLZDUR-Zone1-Zone1;PLZ;DUR;Zone 1;Zone 1;1.77;1800;1;1000;18.44;2250;1;1000;S
103;PLZELS-Zone1-Zone1;PLZ;ELS;Zone 1;Zone 1;1.35;800;1;1000;11.54;1000;1;1000;S
104;PLZGRG-Zone1-Zone1;PLZ;GRG;Zone 1;Zone 1;1.95;1000;1;1000;36.89;1250;1;1000;S
105;PLZJNB-Zone1-Zone1;PLZ;JNB;Zone 1;Zone 1;1.96;2035;1;1000;2.45;2544;1;1000;S
106;PLZKIM-Zone1-Zone1;PLZ;KIM;Zone 1;Zone 1;2.25;1500;1;1000;22.67;1875;1;1000;S
107;PLZKLD-Zone1-Zone1;PLZ;KLD;Zone 1;Zone 1;1.53;2035;1;1000;21.28;2544;1;1000;S
108;PLZNLP-Zone1-Zone1;PLZ;NLP;Zone 1;Zone 1;2.01;2700;1;1000;21.53;3375;1;1000;S
109;PLZPLZ-Zone1-Zone1;PLZ;PLZ;Zone 1;Zone 1;0.35;356;1;1000;0.56;569;1;1000;S
110;PLZPTG-Zone1-Zone1;PLZ;PTG;Zone 1;Zone 1;2.07;2700;1;1000;21.53;3375;1;1000;S
111;PTGBFN-Zone1-Zone1;PTG;BFN;Zone 1;Zone 1;1.65;2000;1;1000;21.53;2500;1;1000;S
112;PTGCPT-Zone1-Zone1;PTG;CPT;Zone 1;Zone 1;2.25;2700;1;1000;21.53;3375;1;1000;S
113;PTGDUR-Zone1-Zone1;PTG;DUR;Zone 1;Zone 1;2.07;2000;1;1000;16.4;2500;1;1000;S
114;PTGELS-Zone1-Zone1;PTG;ELS;Zone 1;Zone 1;2.61;2700;1;1000;21.53;3375;1;1000;S
115;PTGGRG-Zone1-Zone1;PTG;GRG;Zone 1;Zone 1;2.61;3000;1;1000;21.53;3750;1;1000;S
116;PTGJNB-Zone1-Zone1;PTG;JNB;Zone 1;Zone 1;1.47;1200;1;1000;3.09;1500;1;1000;S
117;PTGKIM-Zone1-Zone1;PTG;KIM;Zone 1;Zone 1;2.01;2035;1;1000;7.31;2544;1;1000;S
118;PTGKLD-Zone1-Zone1;PTG;KLD;Zone 1;Zone 1;2.13;1500;1;1000;5.92;1875;1;1000;S
119;PTGNLP-Zone1-Zone1;PTG;NLP;Zone 1;Zone 1;1.35;1200;1;1000;6.17;1500;1;1000;S
120;PTGPLZ-Zone1-Zone1;PTG;PLZ;Zone 1;Zone 1;2.07;2700;1;1000;21.53;3375;1;1000;S
121;PTGPTG-Zone1-Zone1;PTG;PTG;Zone 1;Zone 1;0.89;560;1;1000;1.87;700;1;1000;S
122;BFNBFN-Zone2-Zone1;BFN;BFN;Zone 2;Zone 1;1.15;866;1;1000;2.06;1006;1;1000;S
123;BFNCPT-Zone2-Zone1;BFN;CPT;Zone 2;Zone 1;1.91;2106;1;1000;18.76;2556;1;1000;S
124;BFNDUR-Zone2-Zone1;BFN;DUR;Zone 2;Zone 1;1.79;1806;1;1000;13.63;2181;1;1000;S
125;BFNELS-Zone2-Zone1;BFN;ELS;Zone 2;Zone 1;2.33;1606;1;1000;18.76;1931;1;1000;S
126;BFNGRG-Zone2-Zone1;BFN;GRG;Zone 2;Zone 1;2.45;1806;1;1000;37.21;2181;1;1000;S
127;BFNJNB-Zone2-Zone1;BFN;JNB;Zone 2;Zone 1;1.79;1806;1;1000;18.76;2181;1;1000;S
128;BFNKIM-Zone2-Zone1;BFN;KIM;Zone 2;Zone 1;1.67;1106;1;1000;22.99;1306;1;1000;S
129;BFNKLD-Zone2-Zone1;BFN;KLD;Zone 2;Zone 1;1.73;1306;1;1000;21.6;1556;1;1000;S
130;BFNNLP-Zone2-Zone1;BFN;NLP;Zone 2;Zone 1;1.97;1806;1;1000;21.85;2181;1;1000;S
131;BFNPLZ-Zone2-Zone1;BFN;PLZ;Zone 2;Zone 1;2.27;1606;1;1000;18.76;1931;1;1000;S
132;BFNPTG-Zone2-Zone1;BFN;PTG;Zone 2;Zone 1;1.97;2306;1;1000;21.85;2806;1;1000;S
133;CPTBFN-Zone2-Zone1;CPT;BFN;Zone 2;Zone 1;1.91;2106;1;1000;18.76;2556;1;1000;S
134;CPTCPT-Zone2-Zone1;CPT;CPT;Zone 2;Zone 1;0.46;425;1;1000;0.67;638;1;1000;S
135;CPTDUR-Zone2-Zone1;CPT;DUR;Zone 2;Zone 1;1.85;2456;1;1000;14.31;2994;1;1000;S
136;CPTELS-Zone2-Zone1;CPT;ELS;Zone 2;Zone 1;2.27;2606;1;1000;18.76;3181;1;1000;S
137;CPTGRG-Zone2-Zone1;CPT;GRG;Zone 2;Zone 1;2.63;1706;1;1000;37.21;2056;1;1000;S
138;CPTJNB-Zone2-Zone1;CPT;JNB;Zone 2;Zone 1;2.28;2341;1;1000;2.77;2850;1;1000;S
139;CPTKIM-Zone2-Zone1;CPT;KIM;Zone 2;Zone 1;2.45;2106;1;1000;22.99;2556;1;1000;S
140;CPTKLD-Zone2-Zone1;CPT;KLD;Zone 2;Zone 1;2.03;1306;1;1000;21.6;1556;1;1000;S
141;CPTNLP-Zone2-Zone1;CPT;NLP;Zone 2;Zone 1;2.57;3006;1;1000;21.85;3681;1;1000;S
142;CPTPLZ-Zone2-Zone1;CPT;PLZ;Zone 2;Zone 1;2.33;2341;1;1000;18.76;2850;1;1000;S
143;CPTPTG-Zone2-Zone1;CPT;PTG;Zone 2;Zone 1;2.57;3006;1;1000;21.85;3681;1;1000;S
144;DURBFN-Zone2-Zone1;DUR;BFN;Zone 2;Zone 1;1.79;1806;1;1000;13.63;2181;1;1000;S
145;DURCPT-Zone2-Zone1;DUR;CPT;Zone 2;Zone 1;1.85;2456;1;1000;14.31;2994;1;1000;S
146;DURDUR-Zone2-Zone1;DUR;DUR;Zone 2;Zone 1;0.46;425;1;1000;0.67;638;1;1000;S
147;DURELS-Zone2-Zone1;DUR;ELS;Zone 2;Zone 1;2.03;1806;1;1000;18.76;2181;1;1000;S
148;DURGRG-Zone2-Zone1;DUR;GRG;Zone 2;Zone 1;2.51;2456;1;1000;32.08;2994;1;1000;S
149;DURJNB-Zone2-Zone1;DUR;JNB;Zone 2;Zone 1;1.1;1509;1;1000;1.32;1771;1;1000;S
150;DURKIM-Zone2-Zone1;DUR;KIM;Zone 2;Zone 1;2.57;2006;1;1000;17.85;2431;1;1000;S
151;DURKLD-Zone2-Zone1;DUR;KLD;Zone 2;Zone 1;2.27;1806;1;1000;16.47;2181;1;1000;S
152;DURNLP-Zone2-Zone1;DUR;NLP;Zone 2;Zone 1;2.39;1806;1;1000;16.72;2181;1;1000;S
153;DURPLZ-Zone2-Zone1;DUR;PLZ;Zone 2;Zone 1;2.09;2106;1;1000;18.76;2556;1;1000;S
154;DURPTG-Zone2-Zone1;DUR;PTG;Zone 2;Zone 1;2.39;2306;1;1000;16.72;2806;1;1000;S
155;ELSBFN-Zone2-Zone1;ELS;BFN;Zone 2;Zone 1;2.33;1606;1;1000;18.76;1931;1;1000;S
156;ELSCPT-Zone2-Zone1;ELS;CPT;Zone 2;Zone 1;2.27;2606;1;1000;18.76;3181;1;1000;S
157;ELSDUR-Zone2-Zone1;ELS;DUR;Zone 2;Zone 1;2.03;1806;1;1000;18.76;2181;1;1000;S
158;ELSELS-Zone2-Zone1;ELS;ELS;Zone 2;Zone 1;1.27;866;1;1000;2.31;1006;1;1000;S
159;ELSGRG-Zone2-Zone1;ELS;GRG;Zone 2;Zone 1;2.27;1306;1;1000;37.21;1556;1;1000;S
160;ELSJNB-Zone2-Zone1;ELS;JNB;Zone 2;Zone 1;2.45;2606;1;1000;18.76;3181;1;1000;S
161;ELSKIM-Zone2-Zone1;ELS;KIM;Zone 2;Zone 1;3.05;1806;1;1000;22.99;2181;1;1000;S
162;ELSKLD-Zone2-Zone1;ELS;KLD;Zone 2;Zone 1;2.51;2341;1;1000;21.6;2850;1;1000;S
163;ELSNLP-Zone2-Zone1;ELS;NLP;Zone 2;Zone 1;2.87;3006;1;1000;21.85;3681;1;1000;S
164;ELSPLZ-Zone2-Zone1;ELS;PLZ;Zone 2;Zone 1;1.67;1106;1;1000;11.86;1306;1;1000;S
165;ELSPTG-Zone2-Zone1;ELS;PTG;Zone 2;Zone 1;2.93;3006;1;1000;21.85;3681;1;1000;S
166;GRGBFN-Zone2-Zone1;GRG;BFN;Zone 2;Zone 1;2.45;1806;1;1000;37.21;2181;1;1000;S
167;GRGCPT-Zone2-Zone1;GRG;CPT;Zone 2;Zone 1;2.63;1706;1;1000;37.21;2056;1;1000;S
168;GRGDUR-Zone2-Zone1;GRG;DUR;Zone 2;Zone 1;2.51;2456;1;1000;32.08;2994;1;1000;S
169;GRGELS-Zone2-Zone1;GRG;ELS;Zone 2;Zone 1;2.27;1306;1;1000;37.21;1556;1;1000;S
170;GRGGRG-Zone2-Zone1;GRG;GRG;Zone 2;Zone 1;1.27;866;1;1000;2.31;1006;1;1000;S
171;GRGJNB-Zone2-Zone1;GRG;JNB;Zone 2;Zone 1;2.78;2806;1;1000;18.76;3431;1;1000;S
172;GRGKIM-Zone2-Zone1;GRG;KIM;Zone 2;Zone 1;2.69;2106;1;1000;22.99;2556;1;1000;S
173;GRGKLD-Zone2-Zone1;GRG;KLD;Zone 2;Zone 1;2.78;2341;1;1000;21.6;2850;1;1000;S
174;GRGNLP-Zone2-Zone1;GRG;NLP;Zone 2;Zone 1;2.87;3306;1;1000;21.85;4056;1;1000;S
175;GRGPLZ-Zone2-Zone1;GRG;PLZ;Zone 2;Zone 1;2.27;1306;1;1000;37.21;1556;1;1000;S
176;GRGPTG-Zone2-Zone1;GRG;PTG;Zone 2;Zone 1;2.93;3306;1;1000;21.85;4056;1;1000;S
177;JNBBFN-Zone2-Zone1;JNB;BFN;Zone 2;Zone 1;1.79;1806;1;1000;18.76;2181;1;1000;S
178;JNBCPT-Zone2-Zone1;JNB;CPT;Zone 2;Zone 1;2.28;2341;1;1000;2.77;2850;1;1000;S
179;JNBDUR-Zone2-Zone1;JNB;DUR;Zone 2;Zone 1;1.1;1509;1;1000;1.32;1771;1;1000;S
180;JNBELS-Zone2-Zone1;JNB;ELS;Zone 2;Zone 1;2.45;2606;1;1000;18.76;3181;1;1000;S
181;JNBGRG-Zone2-Zone1;JNB;GRG;Zone 2;Zone 1;2.78;2806;1;1000;18.76;3431;1;1000;S
182;JNBJNB-Zone2-Zone1;JNB;JNB;Zone 2;Zone 1;0.42;425;1;1000;0.67;638;1;1000;S
183;JNBKIM-Zone2-Zone1;JNB;KIM;Zone 2;Zone 1;2.33;2006;1;1000;4.54;2431;1;1000;S
184;JNBKLD-Zone2-Zone1;JNB;KLD;Zone 2;Zone 1;1.67;1306;1;1000;3.16;1556;1;1000;S
185;JNBNLP-Zone2-Zone1;JNB;NLP;Zone 2;Zone 1;1.79;1106;1;1000;3.41;1306;1;1000;S
186;JNBPLZ-Zone2-Zone1;JNB;PLZ;Zone 2;Zone 1;2.28;2341;1;1000;2.77;2850;1;1000;S
187;JNBPTG-Zone2-Zone1;JNB;PTG;Zone 2;Zone 1;1.79;1506;1;1000;3.41;1806;1;1000;S
188;KIMBFN-Zone2-Zone1;KIM;BFN;Zone 2;Zone 1;1.67;1106;1;1000;22.99;1306;1;1000;S
189;KIMCPT-Zone2-Zone1;KIM;CPT;Zone 2;Zone 1;2.45;2106;1;1000;22.99;2556;1;1000;S
190;KIMDUR-Zone2-Zone1;KIM;DUR;Zone 2;Zone 1;2.57;2006;1;1000;17.85;2431;1;1000;S
191;KIMELS-Zone2-Zone1;KIM;ELS;Zone 2;Zone 1;3.05;1806;1;1000;22.99;2181;1;1000;S
192;KIMGRG-Zone2-Zone1;KIM;GRG;Zone 2;Zone 1;2.69;2106;1;1000;22.99;2556;1;1000;S
193;KIMJNB-Zone2-Zone1;KIM;JNB;Zone 2;Zone 1;2.33;2006;1;1000;4.54;2431;1;1000;S
194;KIMKIM-Zone2-Zone1;KIM;KIM;Zone 2;Zone 1;1.27;866;1;1000;2.31;1006;1;1000;S
195;KIMKLD-Zone2-Zone1;KIM;KLD;Zone 2;Zone 1;2.63;1306;1;1000;5.17;1556;1;1000;S
196;KIMNLP-Zone2-Zone1;KIM;NLP;Zone 2;Zone 1;2.63;2341;1;1000;7.63;2850;1;1000;S
197;KIMPLZ-Zone2-Zone1;KIM;PLZ;Zone 2;Zone 1;2.57;1806;1;1000;22.99;2181;1;1000;S
198;KIMPTG-Zone2-Zone1;KIM;PTG;Zone 2;Zone 1;2.33;2341;1;1000;7.63;2850;1;1000;S
199;KLDBFN-Zone2-Zone1;KLD;BFN;Zone 2;Zone 1;1.73;1306;1;1000;21.6;1556;1;1000;S
200;KLDCPT-Zone2-Zone1;KLD;CPT;Zone 2;Zone 1;2.03;1306;1;1000;21.6;1556;1;1000;S
201;KLDDUR-Zone2-Zone1;KLD;DUR;Zone 2;Zone 1;2.27;1806;1;1000;16.47;2181;1;1000;S
202;KLDELS-Zone2-Zone1;KLD;ELS;Zone 2;Zone 1;2.51;2341;1;1000;21.6;2850;1;1000;S
203;KLDGRG-Zone2-Zone1;KLD;GRG;Zone 2;Zone 1;2.78;2341;1;1000;21.6;2850;1;1000;S
204;KLDJNB-Zone2-Zone1;KLD;JNB;Zone 2;Zone 1;1.67;1306;1;1000;3.16;1556;1;1000;S
205;KLDKIM-Zone2-Zone1;KLD;KIM;Zone 2;Zone 1;2.63;1306;1;1000;5.17;1556;1;1000;S
206;KLDKLD-Zone2-Zone1;KLD;KLD;Zone 2;Zone 1;1.15;866;1;1000;2.06;1006;1;1000;S
207;KLDNLP-Zone2-Zone1;KLD;NLP;Zone 2;Zone 1;2.51;1806;1;1000;6.24;2181;1;1000;S
208;KLDPLZ-Zone2-Zone1;KLD;PLZ;Zone 2;Zone 1;1.85;2341;1;1000;21.6;2850;1;1000;S
209;KLDPTG-Zone2-Zone1;KLD;PTG;Zone 2;Zone 1;2.45;1806;1;1000;6.24;2181;1;1000;S
210;NLPBFN-Zone2-Zone1;NLP;BFN;Zone 2;Zone 1;1.97;1806;1;1000;21.85;2181;1;1000;S
211;NLPCPT-Zone2-Zone1;NLP;CPT;Zone 2;Zone 1;2.57;3006;1;1000;21.85;3681;1;1000;S
212;NLPDUR-Zone2-Zone1;NLP;DUR;Zone 2;Zone 1;2.39;1806;1;1000;16.72;2181;1;1000;S
213;NLPELS-Zone2-Zone1;NLP;ELS;Zone 2;Zone 1;2.87;3006;1;1000;21.85;3681;1;1000;S
